ZCTA5CE,commute_min_proxy_2019,ttw_total_2019
30002,37.29294532627866,2835
30004,32.74843445231496,29223
30005,34.43665338645418,17570
30008,35.52917913638307,14034
30009,30.11320385818561,7672
30011,39.42571268080326,7121
30017,41.497877445551865,10836
30019,38.13936767926864,21002
30021,39.113646312103306,9138
30022,34.183583336010024,31133
30024,37.488784700450324,35086
30030,29.61322824408873,12307
30032,38.18637325007553,19858
30033,30.223414356247627,15798
30034,39.623861213413456,20636
30035,40.314778273964066,9629
30038,41.58093607305936,17520
30039,44.06189431340282,21876
30043,36.92189568440561,41547
30044,37.70592742131634,41114
30045,40.9617730571038,19018
30046,37.08896910193474,17315
30047,36.65404699738903,29874
30052,41.671890139998,29929
30058,42.90195426502641,27069
30060,31.214989259705558,19087
30062,34.865529763600115,28088
30064,36.915836048038116,20567
30066,36.83051892255389,26767
30067,30.31705976836588,23658
30068,32.852718031820864,13576
30071,34.79278014312891,11039
30075,35.31905992640617,22828
30076,32.47329017483595,22707
30078,42.10620014268111,15419
30079,30.262355658198615,2165
30080,30.33695652173913,30038
30082,33.56289263782028,14167
30083,38.097366476057104,25707
30084,34.70232399179768,19019
30087,41.83376101751646,17926
30088,41.086114352392066,12855
30092,29.984456254643124,17499
30093,35.37386689832301,26476
30096,33.47479243473309,33363
30097,37.44611449451888,20525
30101,38.92498570816064,27988
30102,35.85200115174201,20838
30106,36.93424728401448,9665
30107,37.20178810160428,5984
30114,38.73151653838153,24035
30115,36.70991010389191,18577
30126,36.20575263207816,21086
30127,41.502410831177954,31317
30144,35.1609718139374,28915
30152,40.107620420539845,20117
30168,33.62119157760409,12538
30183,44.97947327652982,2582
30188,39.88090625513052,30455
30189,38.533915343915346,18900
30213,32.61699326393141,16330
30215,34.97764240607259,15677
30228,39.30046856696603,17927
30236,32.68542372881356,22125
30238,38.09546227278671,15294
30248,36.57909846602108,11669
30252,41.093064775699055,19884
30253,35.53203825969189,23628
30260,31.50225144092219,11104
30268,36.095063538611925,4092
30273,38.49304719882337,7479
30274,34.05748449389347,15639
30281,34.421419396274885,31140
30291,30.30487549696589,9558
30294,34.95667991124413,19379
30296,36.13838449637652,12281
30297,32.76690225983447,10753
30303,21.759343434343435,1980
30305,24.290262451535938,13412
30306,25.6274465522433,13284
30307,27.92728525493799,10885
30308,24.45415026246719,12192
30309,23.274812143071838,16635
30310,36.364271295922485,12385
30311,40.471638972809664,13240
30312,27.46928895612708,13220
30313,21.940284487385938,3726
30314,31.184927169094365,7895
30315,34.88128150918848,12298
30316,33.34721654302237,17119
30317,31.766395908543924,6648
30318,28.9922066311657,25727
30319,26.35619292490469,22558
30322,16.891691394658753,674
30324,25.684004111219302,18486
30326,22.645661657779932,4126
30327,26.06291390728477,9362
30328,27.295676814283564,19939
30329,28.71273240917154,15221
30331,38.156680726067634,26554
30336,30.043478260869566,92
30337,34.12640258415505,5882
30338,27.62475335752021,15711
30339,27.49950835791544,15255
30340,33.70988911518443,13257
30341,27.807692307692307,16081
30342,24.923864758144127,16208
30344,33.594377910844976,15030
30345,31.93356691398736,14556
30346,29.240369799691834,3245
30349,36.04891046897205,33776
30350,30.638779755026576,21635
30354,33.61495222034851,7116
30360,31.37159329140461,7632
30363,25.444285714285716,2100
30518,35.92915356610955,24172
30519,35.127936260817805,21839
